chrom	start	end	width	strand	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
chr3	73673171	73674714	1544	*	214.68814	-0.6705596	0.15761964	-4.254290	2.097138e-05	2.960492e-03
chr12	56358987	56360175	1189	*	106.15917	1.0276855	0.24466165	4.200435	2.664021e-05	3.493652e-03
chr8	37552477	37553367	891	*	262.36712	0.6517946	0.15606697	4.176377	2.961884e-05	3.766570e-03
chr12	2749720	2750238	519	*	21.96380	-2.0853063	0.50381672	-4.139018	3.487960e-05	4.223293e-03
chr21	26946137	26946506	370	*	36.66116	-2.5588069	0.61896639	-4.134000	3.565039e-05	4.264595e-03
chr9	706615	707477	863	*	138.60505	0.9376637	0.22682092	4.133938	3.565993e-05	4.264595e-03
chr1	223888703	223889283	581	*	42.63545	-1.4498685	0.35309351	-4.106189	4.022411e-05	4.642320e-03
chr17	47922445	47923102	658	*	29.96248	-1.6192664	0.40211672	-4.026857	5.652745e-05	5.957580e-03
chr1	33168413	33169962	1550	*	137.57426	-0.7824846	0.19654420	-3.981214	6.856415e-05	6.719869e-03
chr20	17539149	17539776	628	*	48.10776	-1.6903499	0.42740256	-3.954936	7.655504e-05	7.255144e-03
chr21	27512293	27512980	688	*	107.89004	-0.9067658	0.23158215	-3.915525	9.020753e-05	8.229565e-03
chr16	3070236	3072591	2356	*	107.32588	-0.8837787	0.22632859	-3.904848	9.428476e-05	8.484158e-03
chr20	26188704	26190366	1663	*	1204.21233	-0.3877502	0.09953203	-3.895733	9.790230e-05	8.758461e-03
chr2	208393821	208395165	1345	*	280.09204	0.5519822	0.14194673	3.888657	1.008003e-04	8.897023e-03
chr1	9497896	9499021	1126	*	120.02890	1.1029969	0.28406261	3.882936	1.032029e-04	9.022823e-03
chr19	35605516	35606717	1202	*	507.39157	0.5082114	0.13241969	3.837884	1.240989e-04	1.034572e-02
chr3	64172716	64173767	1052	*	370.29155	-0.5340608	0.13924993	-3.835268	1.254276e-04	1.037632e-02
chr5	149491919	149492547	629	*	35.80385	-1.6554090	0.43694113	-3.788632	1.514794e-04	1.195315e-02
chr3	64673427	64673939	513	*	133.69424	-0.7191276	0.19171094	-3.751103	1.760580e-04	1.319349e-02
chr15	72520806	72521139	334	*	22.79727	-1.9047919	0.50852520	-3.745718	1.798787e-04	1.343407e-02
chr21	37948834	37949279	446	*	17.84276	-1.9303124	0.51876828	-3.720953	1.984723e-04	1.425454e-02
chr15	31393872	31395337	1466	*	162.62948	0.7808860	0.21099422	3.700983	2.147659e-04	1.506551e-02
chr17	43393835	43395104	1270	*	237.63451	0.5236936	0.14190803	3.690373	2.239255e-04	1.549752e-02
chr7	64498186	64499236	1051	*	203.22150	0.6258259	0.17021255	3.676732	2.362413e-04	1.606093e-02
chr2	29446713	29447494	782	*	177.38454	0.6512281	0.17865471	3.645178	2.672073e-04	1.746587e-02
chr11	9779605	9781812	2208	*	151.84979	-0.6953721	0.19276899	-3.607282	3.094211e-04	1.940693e-02
chr8	144918177	144918969	793	*	335.02598	0.4722986	0.13098509	3.605743	3.112610e-04	1.944307e-02
chr8	17940763	17942563	1801	*	123.21896	0.7672404	0.21300130	3.602045	3.157232e-04	1.952620e-02
chr11	66103037	66104548	1512	*	131.84821	-0.7551989	0.20982576	-3.599172	3.192325e-04	1.959629e-02
chr19	39970229	39971584	1356	*	394.30576	0.5734141	0.16080731	3.565846	3.626844e-04	2.132769e-02
chr3	40557623	40558224	602	*	23.62069	-1.5700610	0.44037101	-3.565314	3.634207e-04	2.134380e-02
chr3	49842936	49844559	1624	*	135.61174	0.8105765	0.22774099	3.559204	3.719812e-04	2.165660e-02
chr1	156096808	156097256	449	*	77.98522	-1.0459408	0.29534988	-3.541362	3.980671e-04	2.257442e-02
chr11	89795568	89796081	514	*	17.65333	-2.4233789	0.68478584	-3.538886	4.018195e-04	2.270354e-02
chr1	160175016	160176815	1800	*	76.62209	-0.8388796	0.23831529	-3.520041	4.314798e-04	2.409915e-02
chr11	16813088	16813578	491	*	45.38372	-1.2994416	0.37026608	-3.509480	4.489831e-04	2.479181e-02
chr17	75447209	75448257	1049	*	197.31622	0.5635291	0.16196876	3.479246	5.028270e-04	2.681439e-02
chr8	66546093	66546733	641	*	220.83840	0.5277440	0.15205185	3.470816	5.188790e-04	2.740560e-02
chr11	49080036	49080554	519	*	17.72413	-2.1712008	0.62589667	-3.468945	5.225073e-04	2.756569e-02
chr20	50178846	50180763	1918	*	187.33461	-0.5515750	0.15943260	-3.459613	5.409529e-04	2.801021e-02
chr17	8055693	8056001	309	*	93.33644	0.9018151	0.26073083	3.458798	5.425926e-04	2.804833e-02
chr9	130341100	130342100	1001	*	48.61058	-1.2443351	0.36224019	-3.435110	5.923123e-04	2.952734e-02
chr2	28614597	28615979	1383	*	219.47973	-0.5228232	0.15226279	-3.433690	5.954246e-04	2.961852e-02
chr7	130597829	130598582	754	*	187.58927	-0.6863546	0.20018439	-3.428612	6.066757e-04	2.993744e-02
chr6	108910308	108910913	606	*	33.10442	1.2403507	0.36333687	3.413776	6.406921e-04	3.096924e-02
chr8	133071782	133072195	414	*	88.73448	1.2150386	0.35792704	3.394654	6.871531e-04	3.252072e-02
chr15	28982695	28983629	935	*	21.70177	-1.8958055	0.55849612	-3.394483	6.875834e-04	3.252072e-02
chr12	110010949	110011659	711	*	155.99386	0.6275016	0.18518507	3.388511	7.027331e-04	3.296704e-02
chr14	52327197	52327840	644	*	44.98286	-1.2198228	0.36043819	-3.384277	7.136587e-04	3.334758e-02
chr11	94882768	94883584	817	*	131.63649	0.7556134	0.22327791	3.384183	7.139034e-04	3.334758e-02
chr7	106808808	106810492	1685	*	675.46125	0.3560977	0.10587445	3.363396	7.698995e-04	3.530522e-02
chr1	158969230	158969991	762	*	82.35656	0.9034792	0.26876350	3.361614	7.748828e-04	3.540601e-02
chr11	73471317	73472695	1379	*	647.56422	0.3261089	0.09720084	3.355001	7.936477e-04	3.589517e-02
chr17	7218053	7219006	954	*	68.00104	0.9721804	0.29327723	3.314885	9.168070e-04	3.886285e-02
chr1	161676046	161676920	875	*	41.26851	-1.1167911	0.33807190	-3.303413	9.551562e-04	3.990050e-02
chr7	55756677	55757639	963	*	242.35326	0.6861330	0.20927102	3.278682	1.042932e-03	4.210280e-02
chr7	75932625	75933275	651	*	81.97623	0.8387169	0.25729853	3.259703	1.115288e-03	4.392825e-02
chr3	167966949	167968082	1134	*	68.76800	-0.9218746	0.28316415	-3.255619	1.131454e-03	4.422538e-02
chr2	240116445	240118065	1621	*	194.62466	0.5900344	0.18190783	3.243590	1.180336e-03	4.559555e-02
chr1	222649801	222650475	675	*	19.21040	-2.2562537	0.69785695	-3.233118	1.224471e-03	4.694686e-02
chr3	48601162	48601778	617	*	84.00586	-0.8485785	0.26253857	-3.232205	1.228388e-03	4.700110e-02
chr1	46268429	46269696	1268	*	115.02742	-0.7294763	0.22571668	-3.231823	1.230032e-03	4.700110e-02
chr9	95004338	95005046	709	*	60.37413	1.1517420	0.35682630	3.227739	1.247730e-03	4.732760e-02
chr3	131100156	131101039	884	*	596.20339	0.3611007	0.11212356	3.220561	1.279401e-03	4.833037e-02
chr6	158447138	158447911	774	*	16.27556	-2.2890224	0.71187492	-3.215484	1.302248e-03	4.875455e-02
chr17	10017807	10018867	1061	*	139.44509	-0.6346606	0.19853167	-3.196773	1.389744e-03	5.091536e-02
chr12	12764367	12765648	1282	*	207.21794	0.5095653	0.16005613	3.183666	1.454225e-03	5.244528e-02
chr11	8692783	8693328	546	*	12.68103	-2.0363361	0.64035990	-3.179987	1.472817e-03	5.295029e-02
chr17	19209404	19209926	523	*	21.96793	-1.6691019	0.52579679	-3.174424	1.501342e-03	5.364161e-02
chr12	118490184	118490732	549	*	37.15558	-1.2904135	0.40743647	-3.167153	1.539395e-03	5.445330e-02
chr6	395957	397271	1315	*	63.72266	1.3545216	0.42807227	3.164236	1.554908e-03	5.487281e-02
chr3	67048131	67049187	1057	*	1129.01440	0.2490227	0.07879685	3.160312	1.576000e-03	5.535509e-02
chr12	95867302	95868319	1018	*	180.16799	0.5801413	0.18379039	3.156538	1.596542e-03	5.574852e-02
chr1	231114216	231115003	788	*	223.40206	0.5326269	0.16940200	3.144160	1.665645e-03	5.699739e-02
chr21	37092495	37093627	1133	*	53.17438	-0.9823002	0.31287299	-3.139613	1.691710e-03	5.729661e-02
chr4	119273822	119274530	709	*	40.96496	-1.3445296	0.42886619	-3.135080	1.718075e-03	5.795360e-02
chr3	11609691	11610734	1044	*	80.75835	-0.8858249	0.28460085	-3.112517	1.854995e-03	6.088304e-02
chr18	74728983	74729369	387	*	37.44281	1.2748407	0.41012295	3.108435	1.880808e-03	6.144960e-02
chr18	55710809	55712028	1220	*	147.58036	0.6135083	0.19759031	3.104951	1.903105e-03	6.166995e-02
chr1	225887654	225888519	866	*	52.23251	-1.0796346	0.34976248	-3.086765	2.023475e-03	6.396499e-02
chr12	50505444	50506343	900	*	311.14699	0.3790773	0.12369846	3.064527	2.180144e-03	6.687030e-02
chr3	93562428	93563405	978	*	188.30058	-0.6222079	0.20317068	-3.062489	2.195048e-03	6.701573e-02
chr21	44298902	44299973	1072	*	125.62261	0.7342298	0.24089030	3.047984	2.303823e-03	6.896827e-02
chr12	120983763	120984255	493	*	21.25929	2.1855835	0.71767064	3.045385	2.323826e-03	6.915908e-02
chr1	32264133	32264702	570	*	19.70264	-1.5964319	0.52449054	-3.043776	2.336288e-03	6.931089e-02
chr2	158695043	158695665	623	*	21.45462	-1.7275040	0.56799097	-3.041429	2.354583e-03	6.971923e-02
chr18	77438901	77439981	1081	*	191.66120	0.5088215	0.16739295	3.039683	2.368275e-03	6.976980e-02
chr11	65149588	65150452	865	*	169.85216	-0.5514962	0.18168774	-3.035407	2.402116e-03	7.040412e-02
chr17	40118520	40119854	1335	*	95.43656	0.7402740	0.24492407	3.022463	2.507266e-03	7.214361e-02
chr3	69128975	69129667	693	*	225.80034	0.4650448	0.15393866	3.020975	2.519625e-03	7.233268e-02
chr1	159923908	159924383	476	*	40.69620	-1.0028971	0.33211709	-3.019709	2.530174e-03	7.246261e-02
chr4	124317816	124318031	216	*	17.21274	3.0108610	0.99789646	3.017208	2.551148e-03	7.292018e-02
chr18	24236016	24237330	1315	*	65.45128	0.9763360	0.32498946	3.004208	2.662730e-03	7.516315e-02
chr15	69714679	69715260	582	*	54.75055	0.9503109	0.31662939	3.001335	2.687985e-03	7.531372e-02
chr7	66093078	66094288	1211	*	589.74264	0.3054382	0.10197727	2.995159	2.743015e-03	7.631884e-02
chr17	14204090	14204557	468	*	53.05581	-1.0703240	0.35808529	-2.989020	2.798739e-03	7.717079e-02
chr3	128902332	128903340	1009	*	142.59761	0.5479928	0.18334480	2.988865	2.800162e-03	7.717079e-02
chr11	113576742	113577443	702	*	116.32746	0.6234407	0.20877759	2.986148	2.825160e-03	7.761155e-02
chr4	66536012	66536665	654	*	96.61674	0.8426909	0.28224340	2.985689	2.829407e-03	7.764110e-02
chr8	6692012	6693308	1297	*	39.88205	-1.3920888	0.46661912	-2.983351	2.851105e-03	7.783130e-02
chr12	48213018	48215017	2000	*	65.25866	-0.7538742	0.25275326	-2.982649	2.857657e-03	7.787415e-02
chr19	55972470	55973777	1308	*	212.76317	0.4552744	0.15275085	2.980503	2.877754e-03	7.818886e-02
chr20	43594786	43595507	722	*	93.70846	0.6696719	0.22487328	2.977997	2.901392e-03	7.864236e-02
chr20	5156365	5156795	431	*	25.82775	1.4751972	0.49559907	2.976594	2.914696e-03	7.875184e-02
chr19	45408666	45409585	920	*	25.60707	1.3976487	0.46957167	2.976433	2.916226e-03	7.875184e-02
chr17	71306677	71308651	1975	*	310.10450	0.4322439	0.14561283	2.968446	2.993093e-03	7.993418e-02
chr10	73619747	73620970	1224	*	200.96855	-0.4953162	0.16688432	-2.968021	2.997238e-03	7.997601e-02
chr1	70876313	70877288	976	*	240.07212	0.4567413	0.15426647	2.960730	3.069113e-03	8.112791e-02
chr3	41276400	41277070	671	*	27.30366	1.4483880	0.48976497	2.957312	3.103335e-03	8.170131e-02
chr19	49370569	49371455	887	*	133.54705	0.5726660	0.19412000	2.950062	3.177105e-03	8.265189e-02
chr12	19426599	19427314	716	*	44.62004	-1.0980930	0.37308812	-2.943254	3.247820e-03	8.374001e-02
chr1	150669542	150670114	573	*	108.42845	0.7157063	0.24415214	2.931395	3.374439e-03	8.526095e-02
chr12	54019615	54020364	750	*	180.49863	0.5081861	0.17354564	2.928256	3.408691e-03	8.579717e-02
chrX	51635314	51636826	1513	*	109.11679	0.6775239	0.23148620	2.926844	3.424209e-03	8.599436e-02
chr9	139964767	139965674	908	*	71.42309	-0.7497008	0.25661863	-2.921459	3.483961e-03	8.688634e-02
chr20	523900	524851	952	*	136.57299	0.5851344	0.20044730	2.919144	3.509945e-03	8.729886e-02
chr6	111408413	111409024	612	*	24.88606	1.5218092	0.52197689	2.915472	3.551506e-03	8.785885e-02
chr2	106226092	106226532	441	*	51.13568	1.0231431	0.35099064	2.915015	3.556710e-03	8.794046e-02
chr12	32831974	32832880	907	*	326.29272	0.3922877	0.13463538	2.913704	3.571682e-03	8.821615e-02
chr2	18741261	18742160	900	*	201.83441	0.5226549	0.17953562	2.911149	3.601025e-03	8.842759e-02
chr20	45985354	45987039	1686	*	339.13412	0.3747809	0.12880834	2.909601	3.618907e-03	8.861492e-02
chr2	85829327	85830410	1084	*	220.74857	0.4616975	0.15868128	2.909590	3.619030e-03	8.861492e-02
chr1	17222079	17223490	1412	*	1007.95506	-0.8635167	0.29712324	-2.906258	3.657799e-03	8.929209e-02
chr8	80679781	80680933	1153	*	240.79381	0.5457782	0.18790752	2.904504	3.678353e-03	8.959710e-02
chr4	109089730	109090615	886	*	145.04464	0.6678954	0.23070682	2.894996	3.791628e-03	9.130367e-02
chr7	75368241	75369188	948	*	514.56617	0.3360224	0.11631971	2.888783	3.867358e-03	9.267526e-02
chr8	12612611	12613647	1037	*	77.19171	0.8166706	0.28319242	2.883801	3.929068e-03	9.344340e-02
chr17	7482346	7483143	798	*	209.66683	-0.5130859	0.17798437	-2.882758	3.942102e-03	9.370511e-02
chr2	197124485	197125177	693	*	39.81532	-1.4432278	0.50079655	-2.881864	3.953298e-03	9.387456e-02
chr2	192036187	192037059	873	*	45.70508	-0.9815866	0.34075814	-2.880596	3.969238e-03	9.401127e-02
chr2	54755364	54756312	949	*	34.57668	1.5407906	0.53560201	2.876745	4.017997e-03	9.477710e-02
chr12	56476566	56477376	811	*	324.32333	0.3657755	0.12717141	2.876240	4.024439e-03	9.485488e-02
chr1	169454612	169455567	956	*	310.11970	0.4075214	0.14177997	2.874323	4.048952e-03	9.508318e-02
chr1	212458069	212459246	1178	*	282.23488	0.4329940	0.15064438	2.874279	4.049511e-03	9.508318e-02
chr1	68297571	68298093	523	*	116.09664	0.7034889	0.24489778	2.872582	4.071325e-03	9.517573e-02
chr6	170190157	170190930	774	*	24.50495	-1.4968198	0.52108087	-2.872529	4.072009e-03	9.517573e-02
chr8	28347687	28348352	666	*	52.71796	0.9122921	0.31778787	2.870758	4.094889e-03	9.536589e-02
chr3	119012621	119015079	2459	*	235.96971	0.5871549	0.20493256	2.865113	4.168604e-03	9.636009e-02
chr2	87754681	87755252	572	*	22.87692	-1.6993174	0.59368508	-2.862321	4.205504e-03	9.692187e-02
chrX	118602098	118603430	1333	*	86.30771	0.7286622	0.25525460	2.854649	4.308445e-03	9.807025e-02
chr7	140714429	140715196	768	*	144.68523	0.5550624	0.19458936	2.852481	4.337946e-03	9.830549e-02
chr1	236045972	236047405	1434	*	75.50507	-0.8598769	0.30179852	-2.849175	4.383271e-03	9.899243e-02
chr8	12668718	12669609	892	*	91.64730	0.7668524	0.26918985	2.848742	4.389249e-03	9.907897e-02
chr19	42806229	42807058	830	*	49.56956	0.9081868	0.31957765	2.841835	4.485474e-03	1.004650e-01
chr17	61919916	61920724	809	*	144.70726	0.5747764	0.20230048	2.841201	4.494394e-03	1.006160e-01
chr4	113738977	113739851	875	*	264.97859	-0.4493191	0.15818050	-2.840547	4.503626e-03	1.006762e-01
chr6	126070217	126071111	895	*	87.54138	0.7123432	0.25090881	2.839052	4.524774e-03	1.010511e-01
chr11	67572565	67573681	1117	*	316.05001	0.4053148	0.14305407	2.833298	4.607040e-03	1.022385e-01
chr17	47865770	47866759	990	*	376.54106	0.3376007	0.11935029	2.828654	4.674416e-03	1.028996e-01
chr20	45034563	45035688	1126	*	327.84456	0.3657611	0.12938897	2.826834	4.701069e-03	1.031953e-01
chr16	56642031	56642615	585	*	95.33239	0.6964727	0.24746023	2.814483	4.885574e-03	1.057901e-01
chr1	161591182	161591721	540	*	23.20201	2.0956814	0.74619734	2.808481	4.977575e-03	1.069000e-01
chr15	89089451	89090075	625	*	165.99662	0.5238068	0.18722103	2.797799	5.145212e-03	1.091012e-01
chr11	74699466	74700317	852	*	145.06630	0.5930560	0.21209800	2.796142	5.171675e-03	1.094540e-01
chr1	109940261	109941072	812	*	132.67732	0.5572741	0.19955038	2.792649	5.227843e-03	1.100947e-01
chr7	148725383	148726273	891	*	696.59436	0.2970337	0.10647617	2.789673	5.276132e-03	1.106573e-01
chr19	8272950	8274335	1386	*	142.41657	0.5497679	0.19712735	2.788897	5.288783e-03	1.108220e-01
chr2	176032310	176033486	1177	*	405.77099	0.3193331	0.11461379	2.786166	5.333554e-03	1.113054e-01
chr17	79608991	79609887	897	*	125.80764	0.5815003	0.20900203	2.782271	5.397993e-03	1.122286e-01
chr7	150929303	150930531	1229	*	104.36501	0.6456924	0.23248513	2.777349	5.480429e-03	1.131429e-01
chr6	71012744	71013216	473	*	55.83207	1.5429301	0.55618909	2.774111	5.535284e-03	1.136964e-01
chr8	67686602	67687846	1245	*	157.75374	0.5941467	0.21483864	2.765549	5.682712e-03	1.156128e-01
chr2	217363162	217364048	887	*	64.73961	0.8342090	0.30187163	2.763456	5.719279e-03	1.161326e-01
chr13	97793790	97794163	374	*	23.27611	-1.3827452	0.50088537	-2.760602	5.769491e-03	1.168005e-01
chr17	47841322	47841919	598	*	487.19560	0.3223554	0.11677866	2.760397	5.773122e-03	1.168005e-01
chr16	70472638	70473524	887	*	111.45697	0.6180959	0.22418714	2.757053	5.832486e-03	1.173310e-01
chr1	151812001	151812871	871	*	190.08263	0.5923645	0.21495092	2.755813	5.854647e-03	1.174956e-01
chrX	55515680	55516709	1030	*	48.05861	0.9311353	0.33819210	2.753273	5.900261e-03	1.181639e-01
chr11	694841	696075	1235	*	218.63188	0.5878269	0.21390704	2.748049	5.995112e-03	1.191332e-01
chr2	43453300	43455056	1757	*	318.09955	0.3583259	0.13061658	2.743342	6.081740e-03	1.201821e-01
chr21	31744526	31745152	627	*	37.38032	1.1543357	0.42127102	2.740126	6.141561e-03	1.207287e-01
chr11	6494764	6495705	942	*	127.69673	0.5648446	0.20624179	2.738749	6.167339e-03	1.209860e-01
chr11	68227456	68228524	1069	*	160.58290	0.4783056	0.17490114	2.734720	6.243341e-03	1.218838e-01
chr11	70116160	70117441	1282	*	279.13467	0.3839584	0.14059606	2.730933	6.315528e-03	1.227009e-01
chr12	27676347	27677563	1217	*	167.37350	0.5221964	0.19146643	2.727352	6.384486e-03	1.236763e-01
chr20	25677019	25677733	715	*	274.04962	0.4286383	0.15759749	2.719829	6.531563e-03	1.253680e-01
chr7	92157030	92158340	1311	*	368.55665	0.3385094	0.12456531	2.717525	6.577218e-03	1.260347e-01
chr8	64080587	64081721	1135	*	228.95863	0.4330292	0.15956656	2.713784	6.651945e-03	1.269397e-01
chr20	17661819	17663493	1675	*	328.67205	0.4377060	0.16140204	2.711899	6.689906e-03	1.274533e-01
chr1	32712226	32713097	872	*	83.12289	0.6629367	0.24454812	2.710864	6.710815e-03	1.277989e-01
chr1	185286150	185287009	860	*	151.99226	0.5832807	0.21521683	2.710200	6.724259e-03	1.280001e-01
chr5	34007772	34008601	830	*	217.50426	0.4487538	0.16578992	2.706762	6.794299e-03	1.286986e-01
chr4	73177792	73178302	511	*	24.38936	-1.1826711	0.43716248	-2.705335	6.823545e-03	1.288296e-01
chr18	22931775	22932517	743	*	76.53372	0.7393510	0.27337540	2.704526	6.840185e-03	1.290382e-01
chr6	30654446	30655451	1006	*	87.02441	-0.6428980	0.23787178	-2.702708	6.877709e-03	1.294816e-01
chr15	91203747	91204289	543	*	40.67729	-1.0078300	0.37368492	-2.697005	6.996625e-03	1.304966e-01
chr6	43026925	43027786	862	*	56.72851	0.8651794	0.32113034	2.694169	7.056437e-03	1.310136e-01
chr4	6988070	6989295	1226	*	54.44893	0.8303599	0.30827097	2.693604	7.068413e-03	1.310136e-01
chr11	73018183	73019541	1359	*	581.66014	0.2945895	0.10939484	2.692901	7.083325e-03	1.311603e-01
chr7	128784422	128785339	918	*	22.61934	1.4467625	0.53725095	2.692899	7.083373e-03	1.311603e-01
chr2	101178875	101180011	1137	*	355.08696	0.3299705	0.12255792	2.692364	7.094743e-03	1.311604e-01
chr7	128864311	128865509	1199	*	530.66787	0.2880780	0.10708495	2.690182	7.141312e-03	1.315472e-01
chr6	132833789	132834575	787	*	72.73277	0.7079849	0.26347268	2.687128	7.206923e-03	1.322602e-01
chr17	63557164	63558104	941	*	89.57750	0.6294968	0.23427082	2.687047	7.208670e-03	1.322602e-01
chr11	44586273	44587227	955	*	279.44867	0.4136690	0.15419246	2.682809	7.300662e-03	1.334177e-01
chr7	138144455	138145559	1105	*	501.12011	0.3283902	0.12261349	2.678255	7.400689e-03	1.347655e-01
chr2	39740657	39741311	655	*	49.21247	-0.8754993	0.32695909	-2.677703	7.412894e-03	1.348211e-01
chr15	75742736	75743551	816	*	184.12993	0.4805094	0.17951342	2.676733	7.434395e-03	1.350596e-01
chr1	231663899	231664691	793	*	99.79229	0.6335886	0.23678709	2.675774	7.455700e-03	1.353934e-01
chr7	72349556	72350760	1205	*	127.41997	0.5968658	0.22331658	2.672734	7.523594e-03	1.360718e-01
chr6	30593941	30594883	943	*	67.53488	-0.7193570	0.26914701	-2.672729	7.523698e-03	1.360718e-01
chr12	56360305	56360847	543	*	59.84313	0.8197899	0.30687339	2.671427	7.552944e-03	1.363458e-01
chr2	30369231	30370030	800	*	202.22454	0.4322434	0.16185588	2.670545	7.572818e-03	1.365533e-01
chr12	9600059	9601091	1033	*	81.05063	0.7268951	0.27237826	2.668697	7.614604e-03	1.368790e-01
chr9	34048773	34049607	835	*	113.95668	0.6252477	0.23436501	2.667837	7.634127e-03	1.370698e-01
chr19	16222103	16222820	718	*	185.34556	0.4945807	0.18542986	2.667212	7.648350e-03	1.372718e-01
chr7	128431023	128431987	965	*	82.05693	0.6767182	0.25403143	2.663915	7.723698e-03	1.381408e-01
chr2	224903334	224904529	1196	*	89.66373	-0.6931915	0.26046681	-2.661343	7.782966e-03	1.387707e-01
chr12	77157463	77158398	936	*	202.30674	0.4322302	0.16244709	2.660744	7.796811e-03	1.389102e-01
chr20	18447394	18448264	871	*	124.47009	0.5455886	0.20524459	2.658236	7.855084e-03	1.396251e-01
chr19	42579909	42580567	659	*	252.41156	0.3690534	0.13889091	2.657146	7.880526e-03	1.397008e-01
chr2	216877989	216878602	614	*	82.59593	0.7208081	0.27206135	2.649432	8.062712e-03	1.413562e-01
chr15	89764785	89765366	582	*	120.54520	0.7268469	0.27448315	2.648057	8.095598e-03	1.417972e-01
chr17	8533890	8534899	1010	*	450.93803	0.3379183	0.12765854	2.647048	8.119773e-03	1.417972e-01
chr5	43120815	43122117	1303	*	371.62851	0.3563535	0.13462429	2.647022	8.120397e-03	1.417972e-01
chr1	9970122	9971016	895	*	366.59787	0.3479275	0.13152035	2.645427	8.158794e-03	1.422261e-01
chr17	20058995	20059972	978	*	140.72957	0.5637029	0.21311211	2.645100	8.166678e-03	1.422261e-01
chr11	2950614	2951049	436	*	19.20947	-1.5643060	0.59365479	-2.635043	8.412660e-03	1.444189e-01
chr1	45477558	45478653	1096	*	62.82111	0.7433079	0.28209895	2.634919	8.415730e-03	1.444189e-01
chr1	42921526	42922688	1163	*	51.33202	0.9684740	0.36791120	2.632358	8.479447e-03	1.451347e-01
chr6	27840931	27841647	717	*	21.35289	-1.6633714	0.63200608	-2.631892	8.491097e-03	1.451726e-01
chr11	111797403	111798243	841	*	144.81704	0.5284329	0.20092083	2.630055	8.537094e-03	1.455816e-01
chr1	20987635	20988471	837	*	213.97362	0.4618371	0.17562074	2.629741	8.544985e-03	1.456623e-01
chr5	87564302	87565129	828	*	44.76458	0.9703148	0.36929107	2.627507	8.601314e-03	1.461312e-01
chr19	4065353	4066293	941	*	118.05216	0.6344741	0.24152189	2.626984	8.614540e-03	1.461312e-01
chr15	83478026	83479288	1263	*	112.12310	0.6156919	0.23444107	2.626212	8.634107e-03	1.461312e-01
chr7	99216408	99216769	362	*	19.79628	-1.4824576	0.56467722	-2.625319	8.656791e-03	1.462803e-01
chr11	102297630	102298232	603	*	45.26067	0.9343624	0.35597773	2.624778	8.670557e-03	1.462803e-01
chr17	19280934	19282031	1098	*	481.28586	0.2768852	0.10560800	2.621821	8.746148e-03	1.465945e-01
chr1	209824596	209824862	267	*	24.26625	-1.4712773	0.56132111	-2.621097	8.764721e-03	1.467526e-01
chr1	192777640	192778605	966	*	118.99009	0.5921251	0.22593405	2.620787	8.772696e-03	1.468329e-01
